"_id","employee_id","full_name","email","department","site","active"
"ObjectId(""6849ef86ab2373184fe07a14"")","E001","Michelle Buchanan","zreyes@example.org","Matte Painting","Sydney",false
"ObjectId(""6849ef86ab2373184fe07a15"")","E002","Laura Nguyen","wattsmichael@example.org","Production","Sydney",true
"ObjectId(""6849ef86ab2373184fe07a16"")","E003","William Gonzales","sgarcia@example.org","Editorial","London",false
"ObjectId(""6849ef86ab2373184fe07a17"")","E004","Roy Kelley","michaelwilliams@example.net","Animation","Hyderabad",true
"ObjectId(""6849ef86ab2373184fe07a18"")","E005","Richard Jones","aanderson@example.org","Animation","Sydney",false
"ObjectId(""6849ef86ab2373184fe07a19"")","E006","James Cooper","douglaslori@example.net","Previs","London",true
"ObjectId(""6849ef86ab2373184fe07a1a"")","E007","Adam Thompson","dedwards@example.net","Lookdev","London",false
"ObjectId(""6849ef86ab2373184fe07a1b"")","E008","Victor Gilbert","ayaladebra@example.com","Story","Hyderabad",true
"ObjectId(""6849ef86ab2373184fe07a1c"")","E009","Jonathan Harper","patrick21@example.com","Lookdev","London",false
"ObjectId(""6849ef86ab2373184fe07a1d"")","E010","Kelly Wells MD","velezchristina@example.com","Animation","Sydney",true
"ObjectId(""6849ef86ab2373184fe07a1e"")","E011","Erica Diaz","rmartin@example.net","Modeling","London",false
"ObjectId(""6849ef86ab2373184fe07a1f"")","E012","Elizabeth Wolfe","mramos@example.com","Prodtech","Sydney",true
"ObjectId(""6849ef86ab2373184fe07a20"")","E013","Charles Savage","stephaniesmith@example.com","Matchmove","Sydney",false
"ObjectId(""6849ef86ab2373184fe07a21"")","E014","Michael Andrade","robertmiller@example.net","IT","Hyderabad",true
"ObjectId(""6849ef86ab2373184fe07a22"")","E015","Samuel Moore","dawn72@example.org","Groom","Sydney",false
"ObjectId(""6849ef86ab2373184fe07a23"")","E016","Gina Vance","virginialong@example.org","Asset Management","London",true
"ObjectId(""6849ef86ab2373184fe07a24"")","E017","Mitchell Garcia","diazchristina@example.net","Lighting","Hyderabad",false
"ObjectId(""6849ef86ab2373184fe07a25"")","E018","Justin Porter","ascott@example.net","IT","London",true
"ObjectId(""6849ef86ab2373184fe07a26"")","E019","Denise West","kaitlynmyers@example.net","Texturing","London",false
"ObjectId(""6849ef86ab2373184fe07a27"")","E020","Linda Kramer","caldwellkrystal@example.net","Prodtech","Hyderabad",true
"ObjectId(""6849ef86ab2373184fe07a28"")","E021","Garrett Lane","angelanelson@example.com","Groom","Sydney",false
"ObjectId(""6849ef86ab2373184fe07a29"")","E022","Kimberly Farrell","justin01@example.org","Pipeline","Hyderabad",true
"ObjectId(""6849ef86ab2373184fe07a2a"")","E023","Dennis Hobbs","fwood@example.com","Rendering","Sydney",false
"ObjectId(""6849ef86ab2373184fe07a2b"")","E024","Veronica Navarro","ssimpson@example.org","Art Department","Hyderabad",true
"ObjectId(""6849ef86ab2373184fe07a2c"")","E025","Michael Morales","hward@example.net","Matte Painting","London",false
"ObjectId(""6849ef86ab2373184fe07a2d"")","E026","Brian Wilson","santiagocharles@example.com","Layout","London",true
